variant,round,sim_time_s,round_time_s,bottleneck_worker,test_accuracy,test_loss,theoretical_error,empirical_error,kappa_mean,epsilon,recalibrated
per_layer_ef,59,0.1563655187958439,0.004224883292637567,5,0.8339,0.7039229797363281,2.9453909234131697,0.19691926639563667,0.06599475856741897,1.361613330245018,False
per_layer_ef,69,0.19861435172221956,0.004224883292637567,5,0.8378,0.610505923461914,2.3436671848757733,0.16220986489451436,0.024641247816606354,1.361613330245018,False
per_layer_ef,75,0.22090816029207405,0.0011693921066666666,0,0.8362,0.5887800109863282,217.7751454029742,87.65434849262238,0.09216009759423398,1.361613330245018,True
per_layer_ef,79,0.22558572871874072,0.0011693921066666666,0,0.8641,0.5450819076538086,24.91111843730751,85.05262589454651,0.5973360396825015,1.361613330245018,False
per_layer_ef,89,0.2372796497854074,0.0011693921066666666,0,0.8737,0.50148369140625,24.585551437704975,124.2942361831665,0.9491812137337412,1.361613330245018,False
per_layer_ef,99,0.24897357085207406,0.0011693921066666666,0,0.8798,0.4642243988037109,32.249590627980965,148.98170065879822,0.9915104658854023,1.361613330245018,False
per_layer_ef,100,0.25334633556039365,0.0043727647083196056,9,0.8789,0.45214837799072266,2.6034647027071007,5.1686483621629495,0.843218009166162,1.361613330245018,True
per_layer_ef,109,0.29270121793527004,0.0043727647083196056,9,0.8853,0.4275515510559082,3.4028739366439833,0.195029787719458,0.13014620313417558,1.361613330245018,False
per_layer_ef,119,0.33642886501846603,0.0043727647083196056,9,0.8888,0.40694233169555666,1.841400383282047,0.1262404285381482,0.029041740179357695,1.361613330245018,False
per_layer_ef,125,0.3594620806667307,0.0011693921066666666,0,0.8889,0.39729535903930663,28.87748234495984,12.93993878364563,0.10586447748356233,1.361613330245018,True
per_layer_ef,129,0.36413964909339736,0.0011693921066666666,0,0.8921,0.39090092010498045,26.60286293377967,41.758057951927185,0.5055975523889097,1.361613330245018,False
per_layer_ef,139,0.375833570160064,0.0011693921066666666,0,0.895,0.37895394821166994,27.826644165615775,91.16431379318237,0.9113065460392215,1.361613330245018,False
per_layer_ef,149,0.3875274912267307,0.0011693921066666666,0,0.8952,0.36785505752563474,30.151928471052393,116.84873390197754,0.9758624672783597,1.361613330245018,False
per_layer_ef,150,0.3920011454278814,0.004473654201150687,5,0.8965,0.3634807174682617,2.4679287783044312,2.922014534500629,0.8258848991524288,1.361613330245018,True
per_layer_ef,159,0.4322640332382377,0.004473654201150687,5,0.8994,0.3550301124572754,2.07175055436899,0.14257029444154942,0.12625497843591224,1.361613330245018,False
per_layer_ef,169,0.4770005752497447,0.004473654201150687,5,0.9,0.3463743423461914,2.0494227725969503,0.12777262181207721,0.02825692454916122,1.361613330245018,False
per_layer_ef,175,0.5005382383621649,0.0011693921066667002,9,0.8996,0.34379495773315427,34.475045690552015,14.40808168053627,0.10217923210094797,1.361613330245018,True
per_layer_ef,179,0.5052158067888316,0.0011693921066667002,9,0.9024,0.339104940032959,38.65335360552874,53.41718637943268,0.5017387424169177,1.361613330245018,False
per_layer_ef,189,0.5169097278554983,0.0011693921066667002,9,0.9051,0.33293376693725585,34.92365603387582,87.91846799850464,0.9116594224628541,1.361613330245018,False
per_layer_ef,199,0.5286036489221649,0.0011693921066667002,9,0.9071,0.3265876304626465,32.69411073252411,125.06033492088318,0.9762549697038635,1.361613330245018,False
